City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,bredasdorp,-34.5322,20.0403,25.77000000000004,63,1,4.47,ZA,2023-02-04 16:05:51
218,northam,51.0333,-4.2167,9.660000000000023,87,100,4.4,GB,2023-02-04 16:07:37
219,wukari,7.85,9.7833,39.02000000000004,9,94,2.82,NG,2023-02-04 16:07:37
220,saint-leu,-21.15,55.2833,26.480000000000015,81,72,4.53,RE,2023-02-04 16:07:38
221,lata,40.1629,-8.3327,15.600000000000025,43,0,2.4,PT,2023-02-04 16:07:38
222,kuznetsk,53.1167,46.6004,-5.46999999999997,96,100,1.99,RU,2023-02-04 16:07:39
223,puerto ayacucho,5.6639,-67.6236,33.80000000000001,40,23,1.58,VE,2023-02-04 16:07:39
224,axim,4.8699,-2.2405,28.760000000000048,72,61,4.12,GH,2023-02-04 16:07:39
225,manggar,-2.8833,108.2667,25.74000000000001,86,96,2.56,ID,2023-02-04 16:07:40
226,brownsville,25.9018,-97.4975,18.30000000000001,76,0,2.57,US,2023-02-04 16:07:41
227,hlobyne,49.3878,33.2596,-1.5499999999999543,87,100,3.88,UA,2023-02-04 16:07:41
228,coihaique,-45.5752,-72.0662,27.970000000000027,36,0,3.09,CL,2023-02-04 16:04:20
229,pueblo nuevo,23.3833,-105.3833,17.900000000000034,27,41,0.62,MX,2023-02-04 16:07:42
230,dordrecht,51.81,4.6736,9.470000000000027,91,100,1.31,NL,2023-02-04 16:07:42
231,half moon bay,37.4636,-122.4286,11.29000000000002,96,100,1.54,US,2023-02-04 16:07:43
232,paamiut,61.994,-49.6678,-13.609999999999957,76,100,5.16,GL,2023-02-04 16:07:43
233,mahebourg,-20.4081,57.7,26.81,78,77,5.49,MU,2023-02-04 16:06:59
234,provideniya,64.3833,-173.3,-21.329999999999984,88,89,5.27,RU,2023-02-04 16:06:37
235,lazaro cardenas,17.9583,-102.2,27.860000000000014,41,0,0.17,MX,2023-02-04 16:07:44
236,cholet,47.1667,-1.0,10.140000000000043,77,92,4.31,FR,2023-02-04 16:07:44
237,tabou,4.423,-7.3528,29.260000000000048,71,42,4.65,CI,2023-02-04 16:07:45
238,omis,43.4447,16.6886,9.960000000000036,57,0,13.04,HR,2023-02-04 16:07:45
239,bethel,41.3712,-73.414,-11.579999999999984,47,0,3.58,US,2023-02-04 16:03:07
240,isangel,-19.55,169.2667,27.160000000000025,87,98,3.88,VU,2023-02-04 16:07:46
241,puri,19.8,85.85,22.29000000000002,59,31,2.67,IN,2023-02-04 16:07:46
242,igarka,67.4667,86.5833,-19.039999999999964,100,100,2.48,RU,2023-02-04 16:07:47
243,fort nelson,58.8053,-122.7002,-19.22999999999999,78,100,1.03,CA,2023-02-04 16:07:48
244,zaragoza,41.6561,-0.8773,18.25,29,0,10.29,ES,2023-02-04 16:04:06
245,sola,-13.8833,167.55,27.450000000000045,76,97,2.79,VU,2023-02-04 16:07:48
246,shingu,33.7333,135.9833,3.590000000000032,75,14,2.8,JP,2023-02-04 16:07:49
247,rondonopolis,-16.4708,-54.6356,29.680000000000007,70,95,0.14,BR,2023-02-04 16:07:49
248,ingham,42.6,-84.3833,-5.609999999999957,60,0,4.12,US,2023-02-04 16:07:49
249,olinda,-8.0089,-34.8553,30.850000000000023,62,40,7.2,BR,2023-02-04 16:07:50
250,henties bay,-22.116,14.2845,18.840000000000032,82,100,4.7,,2023-02-04 16:07:34
251,gorgan,36.8387,54.4348,9.689999999999998,49,75,2.36,IR,2023-02-04 16:07:51
252,dongsheng,39.8161,109.9776,-5.509999999999991,37,4,3.81,CN,2023-02-04 16:07:51
253,cururupu,-1.8283,-44.8683,27.980000000000015,81,64,3.69,BR,2023-02-04 16:07:52
254,pierre,44.3683,-100.351,0.7100000000000364,73,0,5.66,US,2023-02-04 16:07:52
255,takaka,-40.85,172.8,20.870000000000005,95,66,2.44,NZ,2023-02-04 16:07:52
256,te anau,-45.4167,167.7167,18.5,97,100,2.21,NZ,2023-02-04 16:07:53
257,hervey bay,-25.2986,152.8535,25.860000000000014,86,71,2.36,AU,2023-02-04 16:07:53
258,leh,34.1667,77.5833,-13.129999999999995,77,17,1.41,IN,2023-02-04 16:07:54
259,marrakesh,31.6315,-8.0083,20.04000000000002,19,20,3.6,MA,2023-02-04 16:07:54
260,krasnoselkup,65.7,82.4667,-14.310000000000002,98,88,3.02,RU,2023-02-04 16:07:33
261,pacific grove,36.6177,-121.9166,11.720000000000027,90,100,1.54,US,2023-02-04 16:07:55
262,high wycombe,51.6291,-0.7493,9.5,78,97,4.2,GB,2023-02-04 16:07:55
263,xining,36.6167,101.7667,-1.3199999999999932,33,32,0.41,CN,2023-02-04 16:07:56
